RK,PLAYER,POS,GP,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,AVG,TTL
138,Jordan Mason   MIN,RB,16,7.5,3.8,23.6,7.2,9.6,BYE,11.7,0.6,3.7,3.1,10.5,4.2,4.8,11.2,2.9,1.1,,9.4,7.2,114.9
138,Ladd McConkey   LAC,WR,16,7.4,4.8,4.1,1.1,9.9,16.0,6.7,14.8,5.6,16.7,1.3,BYE,9.9,1.2,2.0,10.3,3.1,,7.2,114.9
140,Harold Fannin Jr.   CLE,TE,16,6.6,4.8,2.5,2.5,7.3,8.1,3.6,12.4,BYE,4.4,2.6,4.4,8.3,17.4,5.0,15.5,9.0,,7.2,114.4
141,Blake Corum   LAR,RB,17,1.6,10.4,5.3,1.6,1.3,2.3,4.3,BYE,5.8,5.6,0.5,2.4,14.1,25.1,13.1,12.1,1.8,6.9,6.7,114.2
142,Brandon McManus   GB,K,14,9.0,11.0,4.0,12.0,BYE,,,9.0,8.0,1.0,,12.0,8.0,4.0,16.0,10.0,6.0,3.0,8.1,113.0
143,Tyler Warren   IND,TE,17,7.9,7.9,3.8,13.3,10.4,12.3,12.9,5.3,2.6,9.9,BYE,4.5,8.2,1.7,1.9,3.0,4.3,2.6,6.6,112.5
144,Brock Bowers   LV,TE,12,10.3,3.8,5.8,4.6,,,,BYE,31.3,2.7,7.2,5.5,18.3,10.6,2.8,9.3,,,9.4,112.2
145,Troy Franklin   DEN,WR,17,4.4,16.0,0.8,5.5,5.5,0.1,9.9,20.9,4.3,10.0,8.4,BYE,2.1,1.1,14.8,6.6,1.7,0.0,6.6,112.1
146,Andre Szmyt   CLE,K,17,5.0,5.0,9.0,4.0,5.0,11.0,7.0,1.0,BYE,9.0,11.0,8.0,0.0,5.0,5.0,9.0,9.0,9.0,6.6,112.0
147,Los Angeles Chargers   LAC,DST,17,2.0,13.0,3.0,6.0,3.0,8.0,-3.0,11.0,5.0,15.0,-2.0,BYE,8.0,12.0,13.0,4.0,5.0,8.0,6.5,111.0
147,Ryan Fitzgerald   CAR,K,17,5.0,4.0,15.0,1.0,10.0,14.0,7.0,4.0,5.0,1.0,10.0,3.0,7.0,BYE,6.0,13.0,4.0,2.0,6.5,111.0
149,Romeo Doubs   GB,WR,16,6.8,8.8,2.5,23.8,BYE,5.5,7.2,6.4,9.1,0.5,5.3,2.3,8.0,0.0,3.6,14.4,6.2,,6.9,110.4
150,Buffalo Bills   BUF,DST,17,0.0,10.0,2.0,6.0,6.0,4.0,BYE,17.0,5.0,3.0,4.0,6.0,15.0,10.0,4.0,8.0,5.0,5.0,6.5,110.0
151,Tyler Allgeier   ATL,RB,17,2.4,14.0,0.4,11.1,BYE,9.8,1.6,7.4,0.6,17.7,7.6,4.9,11.5,6.7,1.8,7.3,2.3,1.9,6.4,109.0
152,Kirk Cousins   ATL,QB,10,,,1.2,,BYE,,,7.1,,,2.1,15.5,13.4,4.5,26.9,18.6,9.1,10.2,10.9,108.5
152,Bucky Irving   TB,RB,10,10.5,12.1,9.9,20.5,,,,,BYE,,,,14.1,14.1,7.1,7.1,3.3,9.8,10.8,108.5
154,Matt Prater   BUF,K,15,12.0,14.0,8.0,7.0,9.0,2.0,BYE,12.0,4.0,1.0,8.0,8.0,8.0,7.0,5.0,,,3.0,7.2,108.0
155,Colston Loveland   CHI,TE,16,1.2,0.0,3.1,,BYE,1.1,2.4,3.8,23.8,5.5,4.0,10.9,2.8,8.9,6.1,3.0,15.4,15.1,6.7,107.1
156,Jake Ferguson   DAL,TE,17,2.3,7.8,8.2,10.0,16.9,9.3,14.9,0.0,3.0,BYE,7.6,6.1,3.6,5.8,1.6,1.9,6.6,0.5,6.2,106.1
157,J.K. Dobbins   DEN,RB,10,12.8,14.5,14.3,10.5,14.4,4.0,8.0,12.1,5.9,8.4,,BYE,,,,,,,10.5,104.9
158,Tre Tucker   LV,WR,17,11.4,1.9,32.9,2.2,7.1,7.0,3.3,BYE,3.8,3.5,10.7,2.8,2.0,2.4,0.0,5.4,4.9,3.4,6.2,104.7
159,George Kittle   SF,TE,11,8.5,,,,,,0.0,10.3,2.9,14.4,18.7,7.8,6.7,BYE,14.8,17.5,,2.9,9.5,104.5
160,Cam Skattebo   NYG,RB,8,0.9,11.9,18.1,11.0,8.4,29.0,15.4,9.0,,,,,,BYE,,,,,13.0,103.7
160,Omarion Hampton   LAC,RB,9,6.1,2.5,18.9,22.5,7.0,,,,,,,BYE,,12.7,6.5,15.5,12.0,,11.5,103.7
162,Spencer Rattler   NO,QB,9,11.5,21.7,12.7,13.9,15.1,11.1,13.5,3.6,,,BYE,,,,0.0,,,,11.5,103.1
163,Carolina Panthers   CAR,DST,17,2.0,3.0,22.0,-3.0,3.0,0.0,17.0,-2.0,9.0,5.0,2.0,7.0,13.0,BYE,6.0,5.0,7.0,7.0,6.1,103.0
163,Rachaad White   TB,RB,17,1.6,12.6,1.4,4.6,19.1,14.6,4.4,6.1,BYE,5.4,6.2,4.2,2.9,5.5,2.6,6.0,1.7,4.1,6.1,103.0
163,Daniel Carlson   LV,K,17,11.0,12.0,4.0,6.0,6.0,10.0,0.0,BYE,5.0,1.0,11.0,5.0,2.0,6.0,0.0,3.0,5.0,16.0,6.1,103.0
166,Juwan Johnson   NO,TE,17,7.6,10.9,5.1,2.8,1.7,-0.5,7.9,5.3,9.1,15.2,BYE,4.6,3.9,3.8,3.0,8.9,9.5,4.1,6.1,102.9
167,Rome Odunze   CHI,WR,12,9.7,24.8,12.2,12.9,BYE,3.2,3.1,11.4,0.0,14.6,4.1,5.3,0.8,,,,,,8.5,102.1
168,Kimani Vidal   LAC,RB,13,,,,0.0,1.9,19.8,3.5,18.7,3.0,16.8,1.2,BYE,19.7,10.4,4.8,1.1,,1.0,7.8,101.9
169,Keenan Allen   LAC,WR,17,12.8,12.1,12.5,3.7,5.8,2.7,17.9,4.4,4.1,1.9,5.3,BYE,3.0,2.2,3.6,4.4,1.7,3.6,6.0,101.7
170,Jakobi Meyers   JAC,WR,16,9.7,6.8,6.3,3.0,3.2,3.9,,BYE,2.3,4.1,6.4,11.0,15.3,10.8,7.1,4.6,1.9,4.4,6.3,100.8
171,Indianapolis Colts   IND,DST,17,13.0,1.0,15.0,5.0,17.0,4.0,7.0,7.0,5.0,5.0,BYE,8.0,5.0,1.0,2.0,-1.0,6.0,-1.0,5.8,99.0
171,Tampa Bay Buccaneers   TB,DST,17,2.0,4.0,14.0,4.0,0.0,11.0,8.0,26.0,BYE,2.0,2.0,0.0,7.0,5.0,2.0,2.0,3.0,7.0,5.8,99.0
173,Rashid Shaheed   SEA,WR,18,3.3,11.2,4.2,5.2,17.4,2.8,4.0,5.5,6.8,2.3,2.9,0.5,1.6,12.7,7.1,9.1,0.8,0.2,5.4,97.6
174,Christian Watson   GB,WR,10,,,,,BYE,,,8.5,5.8,4.5,16.6,4.9,14.3,20.9,2.9,1.7,17.3,,9.7,97.4
175,Rashee Rice   KC,WR,8,,,,,,,16.2,16.5,14.6,BYE,3.8,16.1,21.4,3.4,5.1,,,,12.1,97.1
176,Baltimore Ravens   BAL,DST,17,-3.0,15.0,-4.0,-3.0,-2.0,5.0,BYE,4.0,15.0,8.0,9.0,11.0,2.0,0.0,23.0,7.0,6.0,4.0,5.7,97.0
176,Detroit Lions   DET,DST,17,0.0,8.0,8.0,19.0,10.0,2.0,12.0,BYE,7.0,2.0,2.0,3.0,-1.0,10.0,0.0,4.0,7.0,4.0,5.7,97.0
178,Zane Gonzalez   ATL,K,9,,,,,BYE,,,,,6.0,12.0,15.0,8.0,10.0,6.0,10.0,13.0,16.0,10.7,96.0
179,Dalton Schultz   HOU,TE,17,2.8,2.9,3.9,3.0,6.0,BYE,9.8,2.4,7.7,11.3,5.1,0.8,5.5,2.2,13.6,9.5,1.9,7.3,5.6,95.7
180,Chuba Hubbard   CAR,RB,15,14.9,13.7,7.6,6.9,,,5.5,9.4,1.7,1.5,2.8,4.3,18.4,BYE,3.8,3.4,-0.2,1.7,6.4,95.4
181,AJ Barner   SEA,TE,17,0.2,8.8,2.3,9.2,17.3,7.1,0.9,BYE,8.5,0.3,7.1,1.8,3.7,2.7,2.7,11.0,10.3,1.4,5.6,95.3
182,Miami Dolphins   MIA,DST,17,0.0,8.0,1.0,8.0,7.0,2.0,2.0,7.0,1.0,13.0,9.0,BYE,11.0,16.0,2.0,-2.0,12.0,-2.0,5.6,95.0
183,Shedeur Sanders   CLE,QB,8,,,,,,,,,BYE,,2.5,11.3,10.6,34.5,6.5,13.2,11.4,5.0,11.9,94.9
184,Khalil Shakir   BUF,WR,16,6.4,1.2,10.5,12.9,5.0,3.3,BYE,14.8,4.3,5.8,-0.3,9.0,0.5,7.6,6.5,3.4,3.5,,5.9,94.4
185,Jordan Addison   MIN,WR,14,,,,11.4,10.1,BYE,12.8,8.6,6.4,3.5,8.0,0.0,3.6,6.2,6.6,2.6,12.5,0.8,6.6,93.1
186,Kansas City Chiefs   KC,DST,17,3.0,3.0,12.0,8.0,7.0,2.0,13.0,10.0,2.0,BYE,2.0,1.0,1.0,4.0,7.0,2.0,4.0,11.0,5.4,92.0
187,Kayshon Boutte   NE,WR,14,10.3,7.6,2.8,1.8,4.3,21.3,11.5,13.5,0.0,,,1.5,9.5,BYE,3.0,1.6,,2.4,6.5,91.1
188,Matt Gay   SF,K,12,3.0,6.0,14.0,18.0,9.0,8.0,2.0,,2.0,5.0,7.0,9.0,8.0,BYE,,,,,7.6,91.0
189,Brian Thomas Jr.   JAC,WR,14,8.0,4.9,5.5,5.6,8.0,15.0,3.1,BYE,5.5,,,,2.8,8.7,13.1,1.8,3.9,4.9,6.5,90.8
189,Devin Singletary   NYG,RB,17,0.9,0.0,1.1,2.8,2.4,1.0,0.2,2.8,5.1,7.3,16.7,4.7,16.2,BYE,1.4,4.6,13.0,10.6,5.3,90.8
191,Aaron Jones Sr.   MIN,RB,12,12.7,2.3,,,,BYE,,3.0,9.8,12.9,8.1,5.7,0.5,7.6,6.5,9.3,12.3,,7.6,90.7
192,Chris Rodriguez Jr.   WAS,RB,13,,,3.9,5.9,0.7,0.0,7.2,0.2,12.5,7.6,8.5,BYE,10.1,5.2,,12.9,,14.3,6.8,89.0
193,Hollywood Brown   KC,WR,16,9.9,3.0,4.2,9.8,4.8,16.5,7.4,0.0,7.3,BYE,4.0,1.0,8.0,3.5,,2.2,0.7,6.4,5.5,88.7
194,Jayden Higgins   HOU,WR,17,3.2,2.8,0.5,8.4,3.2,BYE,0.0,9.4,0.4,10.2,5.5,9.8,6.5,3.4,0.4,1.7,14.8,8.3,5.2,88.5
195,Dalton Kincaid   BUF,TE,12,10.8,3.7,12.6,8.8,10.8,,BYE,2.3,16.1,3.7,,,,10.1,3.4,0.0,,4.8,7.3,87.1
196,Tennessee Titans   TEN,DST,17,10.0,4.0,-4.0,2.0,15.0,5.0,4.0,-1.0,20.0,BYE,5.0,6.0,3.0,7.0,0.0,10.0,3.0,-2.0,5.1,87.0
197,Marvin Harrison Jr.   ARI,WR,12,13.1,2.7,4.4,12.6,9.8,3.2,5.8,BYE,15.6,11.3,,,6.9,,,1.4,0.0,,7.2,86.8
197,Colby Parkinson   LAR,TE,15,-2.6,,0.0,1.7,0.0,,4.7,BYE,1.0,10.1,7.4,10.1,2.7,9.2,19.5,2.1,5.3,15.6,5.8,86.8
199,Tucker Kraft   GB,TE,8,7.9,18.4,2.9,5.6,BYE,10.3,11.8,26.3,2.0,,,,,,,,,,10.6,85.2
200,Sean Tucker   TB,RB,17,0.2,0.0,0.0,0.0,-0.1,8.5,0.6,10.2,BYE,5.1,32.0,4.6,0.0,8.9,6.7,6.3,0.8,-0.4,4.9,83.4
201,Mark Andrews   BAL,TE,17,0.5,0.4,21.1,3.0,2.2,2.6,BYE,3.4,14.6,7.4,12.7,1.1,4.7,0.9,1.8,2.4,2.8,1.4,4.9,83.0
202,Theo Johnson   NYG,TE,15,0.5,3.4,1.0,7.7,15.3,2.7,12.6,2.0,8.7,7.5,3.6,7.7,2.9,BYE,7.2,0.0,,,5.5,82.8
203,Oronde Gadsden II   LAC,TE,15,,,4.6,1.6,1.4,4.8,22.4,13.7,6.8,1.3,4.1,BYE,2.7,0.7,6.1,0.7,9.2,2.3,5.5,82.4
204,Harrison Mevis   LAR,K,9,,,,,,,,BYE,,6.0,3.0,13.0,4.0,9.0,12.0,14.0,6.0,15.0,9.1,82.0
205,Jake Moody   WAS,K,9,5.0,,,,,16.0,14.0,,,,,BYE,8.0,0.0,13.0,4.0,13.0,8.0,9.0,81.0
206,Luther Burden III   CHI,WR,15,-0.3,0.5,16.8,-0.4,BYE,5.1,2.1,-0.1,,5.1,2.7,6.1,3.6,7.0,8.4,,19.8,4.5,5.4,80.9
207,Kyler Murray   ARI,QB,5,18.3,15.0,14.1,18.1,15.3,,,BYE,,,,,,,,,,,16.2,80.8
208,Emanuel Wilson   GB,RB,17,0.4,0.0,2.5,8.1,BYE,0.7,1.5,8.7,1.7,0.4,12.9,24.5,1.4,1.0,0.3,8.2,2.4,4.8,4.7,79.5
209,Cincinnati Bengals   CIN,DST,17,7.0,5.0,-1.0,1.0,2.0,3.0,3.0,-4.0,6.0,BYE,1.0,10.0,12.0,4.0,7.0,6.0,5.0,12.0,4.6,79.0
209,Green Bay Packers   GB,DST,17,10.0,5.0,8.0,-3.0,BYE,2.0,8.0,5.0,4.0,6.0,7.0,18.0,3.0,3.0,1.0,0.0,-3.0,5.0,4.6,79.0
211,Bhayshul Tuten   JAC,RB,15,1.1,13.4,8.1,2.2,1.1,2.8,2.2,BYE,8.6,1.0,13.4,1.7,7.9,-1.5,8.3,,,8.3,5.2,78.6
212,Josh Downs   IND,WR,16,1.2,5.1,3.4,2.4,5.4,10.2,,9.9,9.7,0.3,BYE,1.0,4.4,2.3,7.3,6.8,3.4,5.6,4.9,78.4
213,Chimere Dike   TEN,WR,17,0.9,0.8,0.5,-0.4,1.7,0.8,12.9,9.4,6.5,BYE,1.4,16.4,-1.1,8.4,1.0,10.0,6.2,2.7,4.6,78.1
214,San Francisco 49ers   SF,DST,17,9.0,5.0,5.0,0.0,7.0,0.0,8.0,2.0,2.0,-3.0,6.0,9.0,11.0,BYE,0.0,12.0,-1.0,6.0,4.6,78.0
215,Arizona Cardinals   ARI,DST,17,5.0,13.0,6.0,5.0,7.0,2.0,1.0,BYE,15.0,6.0,-1.0,17.0,3.0,-4.0,-1.0,7.0,-1.0,-3.0,4.5,77.0
215,New York Giants   NYG,DST,17,3.0,1.0,2.0,7.0,1.0,8.0,1.0,0.0,3.0,0.0,2.0,4.0,2.0,BYE,5.0,15.0,18.0,5.0,4.5,77.0
217,Zach Ertz   WAS,TE,13,8.6,12.4,3.8,4.1,0.0,10.3,9.7,1.6,4.6,5.4,4.2,BYE,10.6,1.1,,,,,5.9,76.4
218,Ty Johnson   BUF,RB,17,2.4,0.6,2.1,0.0,1.0,1.6,BYE,0.6,8.0,2.6,13.0,5.2,2.5,3.9,2.8,7.6,4.8,17.6,4.5,76.3
219,Terry McLaurin   WAS,WR,10,2.7,4.8,7.4,,,,,11.4,,,,BYE,15.6,4.1,12.9,5.3,6.3,5.7,7.6,76.2
220,Washington Commanders   WAS,DST,17,9.0,2.0,11.0,2.0,13.0,5.0,-1.0,6.0,-2.0,-2.0,4.0,BYE,3.0,3.0,9.0,3.0,5.0,6.0,4.5,76.0
221,Elic Ayomanor   TEN,WR,16,1.3,11.6,9.8,4.4,1.8,2.7,2.9,5.2,4.6,BYE,1.1,,0.5,7.4,1.7,5.8,9.7,5.0,4.7,75.5
222,Carson Wentz   MIN,QB,5,,,15.3,23.2,14.7,BYE,13.3,8.8,,,,,,,,,,,15.1,75.3
222,Nick Chubb   HOU,RB,15,6.0,13.2,4.0,6.2,12.1,BYE,1.1,6.9,3.4,5.2,1.7,1.5,9.4,0.3,,4.2,0.1,,5.0,75.3
224,Las Vegas Raiders   LV,DST,17,10.0,5.0,-1.0,3.0,-4.0,16.0,0.0,BYE,2.0,10.0,2.0,5.0,4.0,3.0,0.0,1.0,1.0,18.0,4.4,75.0
225,Ryan Flournoy   DAL,WR,15,,0.0,2.1,2.6,12.4,3.3,0.0,0.7,7.2,BYE,6.2,0.0,3.4,17.5,4.0,7.8,,6.8,4.9,74.0
226,Pat Freiermuth   PIT,TE,17,2.8,3.1,0.6,0.0,BYE,1.1,23.1,1.3,8.7,3.3,1.9,7.9,0.0,0.9,4.5,2.0,6.3,5.1,4.3,72.6
227,Dillon Gabriel   CLE,QB,10,,4.8,,0.0,16.1,8.8,5.8,13.5,BYE,20.1,2.9,,0.0,,,0.0,,,7.2,72.1
228,Brenton Strange   JAC,TE,12,5.9,1.7,6.1,4.5,2.2,,,BYE,,,,9.3,10.5,2.7,2.6,9.9,5.4,11.2,6.0,72.0
229,Jalen Nailor   MIN,WR,17,2.8,3.1,3.7,8.2,4.2,BYE,3.7,0.0,1.6,18.4,1.6,0.0,0.0,3.0,16.5,0.0,0.0,4.9,4.2,71.7
230,Bam Knight   ARI,RB,12,,0.0,,0.0,8.4,11.4,6.4,BYE,4.7,3.3,10.5,9.2,13.8,3.4,-0.2,,,,5.9,70.9
231,Jerry Jeudy   CLE,WR,17,6.6,5.1,1.7,4.8,1.5,4.3,1.7,0.0,BYE,13.8,2.1,1.9,2.6,13.6,2.2,1.2,5.4,2.2,4.2,70.7
231,Malik Washington   MIA,WR,17,2.9,8.5,3.2,2.1,0.0,2.3,3.0,9.6,4.1,7.3,4.2,BYE,3.0,1.0,1.0,9.2,0.5,8.8,4.2,70.7
233,Cooper Kupp   SEA,WR,16,1.5,9.0,3.1,2.6,5.9,10.0,2.2,BYE,,7.4,2.3,2.4,2.4,9.5,4.6,3.9,0.6,2.9,4.4,70.3
234,Davis Mills   HOU,QB,6,,,,,1.2,BYE,,,6.2,28.7,16.4,14.5,,,,,,2.6,11.6,69.6
235,Isiah Pacheco   KC,RB,13,2.8,2.9,4.8,10.8,5.6,5.1,11.4,5.8,,BYE,,,3.3,3.0,2.1,7.5,3.2,,5.3,68.3
236,Chig Okonkwo   TEN,TE,17,1.9,3.5,6.6,0.4,4.8,4.6,0.0,5.3,1.0,BYE,5.6,4.0,2.9,2.0,3.3,10.4,11.5,0.2,4.0,68.0
237,Xavier Worthy   KC,WR,14,0.0,,,12.1,5.1,8.6,4.8,5.3,3.0,BYE,2.5,5.9,7.4,5.5,3.5,4.1,0.1,,4.9,67.9
238,Dawson Knox   BUF,TE,17,2.0,1.9,0.0,0.0,1.5,7.9,BYE,1.5,3.0,3.7,2.3,1.7,2.8,11.3,15.7,1.0,3.0,8.4,4.0,67.7
238,Alvin Kamara   NO,RB,11,11.7,10.0,5.6,7.2,5.5,7.6,2.9,4.5,-0.3,11.5,BYE,1.5,,,,,,,6.2,67.7
240,Mack Hollins   NE,WR,15,0.3,6.8,2.7,6.4,0.0,2.8,5.3,8.9,0.9,10.6,6.4,3.0,2.3,BYE,4.1,6.9,,,4.5,67.4
241,Sam LaPorta   DET,TE,9,7.9,2.6,3.3,3.9,15.2,11.5,1.5,BYE,15.7,5.3,,,,,,,,,7.4,66.9
242,Tyjae Spears   TEN,RB,13,,,,,1.4,5.0,4.0,14.2,6.2,BYE,3.4,2.5,2.4,4.7,3.6,16.5,0.1,2.7,5.1,66.7
243,Michael Carter   ARI,RB,13,,,,0.1,13.3,6.4,3.6,BYE,,0.4,2.8,5.8,6.4,3.1,9.4,6.5,4.3,3.9,5.1,66.0
244,DeMario Douglas   NE,WR,17,6.2,0.8,0.7,0.0,1.7,13.1,1.7,4.7,16.0,3.4,3.1,5.1,3.3,BYE,0.5,0.6,1.0,2.9,3.8,64.8
245,Darren Waller   MIA,TE,9,,,,14.7,13.8,7.2,0.0,,,,,BYE,4.7,1.7,18.6,4.0,0.0,,7.2,64.7
246,Tez Johnson   TB,WR,16,0.0,,0.0,1.3,6.1,10.5,11.8,4.3,BYE,16.2,0.6,9.3,0.5,0.0,0.0,-0.1,1.9,2.2,4.0,64.6
247,Tyrod Taylor   NYJ,QB,6,,8.3,17.7,,,,4.1,,BYE,,,13.8,21.3,-0.8,,,,,10.7,64.5
248,Keon Coleman   BUF,WR,13,17.2,2.6,2.0,4.5,6.3,1.1,BYE,3.0,1.7,10.6,,,6.9,1.6,0.0,,,6.9,5.0,64.4
249,Garrett Wilson   NYJ,WR,7,15.5,5.0,14.4,14.2,13.1,1.3,,,BYE,0.0,,,,,,,,,9.1,63.5
250,Cade Otton   TB,TE,16,0.0,2.5,0.0,0.9,8.1,5.1,6.5,4.0,BYE,8.2,2.8,2.1,0.9,1.9,,1.5,3.3,15.4,3.9,63.2
251,Xavier Hutchinson   HOU,WR,17,3.5,2.9,1.6,1.7,13.8,BYE,1.3,12.9,3.0,0.0,4.2,0.9,3.9,0.0,1.6,0.4,2.9,8.4,3.7,63.0
252,Michael Badgley   BUF,K,9,,,,,,8.0,6.0,9.0,12.0,8.0,,8.0,5.0,,,6.0,0.0,,6.9,62.0
253,Tyquan Thornton   KC,WR,14,4.1,11.9,13.1,7.1,9.0,0.0,3.9,0.0,0.0,BYE,6.1,0.0,0.0,1.9,4.7,,,,4.4,61.8
253,T.J. Hockenson   MIN,TE,15,1.5,1.2,10.9,3.9,3.8,BYE,4.3,2.6,7.1,0.8,3.9,1.9,5.9,7.2,6.6,0.2,,,4.1,61.8
253,Darius Slayton   NYG,WR,14,0.0,6.1,3.0,4.4,1.1,,,2.6,6.2,8.9,,2.3,12.1,BYE,5.3,0.8,3.6,5.4,4.4,61.8
256,Samaje Perine   CIN,RB,15,0.6,0.0,0.1,0.4,2.9,3.2,3.1,16.0,0.5,BYE,,,3.4,3.8,4.3,10.1,7.3,5.2,4.1,60.9
257,Charlie Smyth   NO,K,6,,,,,,,,,,,BYE,,5.0,6.0,10.0,20.0,14.0,5.0,10.0,60.0
258,Isaac TeSlaa   DET,WR,17,7.3,2.9,0.0,0.0,7.2,0.0,0.0,BYE,0.0,1.1,0.0,0.0,9.5,8.0,0.0,11.2,10.9,1.8,3.5,59.9
259,Jake Tonges   SF,TE,16,7.5,3.1,2.1,11.8,10.1,5.8,0.0,6.2,0.0,0.0,0.0,0.0,0.0,BYE,0.0,0.7,12.0,,3.7,59.3
260,Dallas Cowboys   DAL,DST,17,1.0,1.0,-1.0,1.0,7.0,2.0,15.0,-2.0,13.0,BYE,9.0,5.0,2.0,-1.0,1.0,-1.0,2.0,5.0,3.5,59.0
261,KaVontae Turpin   DAL,WR,15,2.7,11.3,6.8,3.4,,,1.7,-0.2,1.3,BYE,0.0,3.2,6.1,3.0,1.2,2.7,14.6,0.7,3.9,58.5
262,Joshua Karty   ARI,K,8,2.0,9.0,17.0,10.0,6.0,5.0,5.0,BYE,4.0,,,,,,,,,,7.3,58.0
263,Jalen Coker   CAR,WR,11,,,,,,,0.0,3.6,0.9,2.1,7.2,3.2,13.4,BYE,10.0,4.7,1.6,10.7,5.2,57.4
264,Spencer Shrader   IND,K,5,16.0,18.0,11.0,10.0,2.0,,,,,,BYE,,,,,,,,11.4,57.0
265,Andrei Iosivas   CIN,WR,17,0.0,1.2,0.0,2.7,8.2,0.5,4.9,0.0,13.0,BYE,2.0,6.6,8.9,1.7,0.0,2.1,4.1,1.0,3.3,56.9
266,Jake Browning   CIN,QB,5,,20.7,7.9,5.4,22.1,,,,,BYE,,0.6,,,,,,,11.3,56.7
267,Marvin Mims Jr.   DEN,WR,16,-0.8,8.4,0.4,14.5,1.9,2.8,9.8,1.8,0.0,,0.2,BYE,1.7,6.7,3.7,2.9,1.0,1.0,3.5,56.0
268,Calvin Austin III   PIT,WR,14,13.0,2.2,9.4,1.3,BYE,,,2.8,5.6,1.4,0.5,3.6,0.0,3.1,0.0,0.8,,11.5,3.9,55.2
269,Kendrick Bourne   SF,WR,16,,3.2,3.8,1.7,14.2,14.2,1.4,4.4,3.4,1.9,0.0,0.0,0.0,BYE,1.7,2.7,2.5,0.0,3.4,55.1
270,Adonai Mitchell   NYJ,WR,16,2.1,2.0,0.0,7.6,0.0,,0.8,0.0,0.7,,1.0,4.2,16.2,2.4,11.4,4.3,2.2,0.0,3.4,54.9
271,Mike Evans   TB,WR,8,5.1,5.6,9.3,,,,0.0,,BYE,,,,,,13.2,9.1,9.1,3.4,6.9,54.8
272,Dylan Sampson   CLE,RB,15,9.3,7.9,0.2,-0.2,0.2,2.4,1.7,2.9,BYE,-0.1,1.9,14.2,2.3,4.8,,,2.7,4.4,3.6,54.6
273,Brian Robinson Jr.   SF,RB,17,3.7,1.9,2.2,2.1,1.2,0.8,3.6,0.0,11.3,10.5,2.4,4.4,2.6,BYE,2.1,2.0,2.8,0.9,3.2,54.5
274,Xavier Legette   CAR,WR,15,1.0,-0.2,,,9.1,1.1,15.2,1.7,2.2,0.0,14.3,2.2,0.1,BYE,3.9,1.2,0.3,2.2,3.6,54.3
275,Ray Davis   BUF,RB,17,0.1,2.4,0.0,0.3,0.1,7.9,BYE,1.6,0.0,-0.2,0.0,6.0,6.2,0.0,1.3,3.4,1.6,23.4,3.2,54.1
276,David Njoku   CLE,TE,12,3.7,4.0,4.0,1.1,12.7,2.8,,9.7,BYE,8.1,0.7,0.0,0.4,6.1,,,,,4.4,53.3
277,Russell Wilson   NYG,QB,6,11.1,31.3,7.1,0.3,,0.0,,,,3.0,,,,BYE,,,,,8.8,52.8
277,Evan Engram   DEN,TE,16,2.1,1.2,,2.9,9.3,4.9,4.2,3.6,0.0,1.2,3.3,BYE,7.9,0.8,1.2,3.6,2.1,4.5,3.3,52.8
279,Ricky Pearsall   SF,WR,10,10.8,5.2,11.7,4.6,,,,,0.0,,0.0,0.8,1.4,BYE,9.6,,8.5,,5.3,52.6
280,Tory Horton   SEA,WR,8,0.0,9.2,15.2,1.0,9.9,0.0,0.0,BYE,16.8,,,,,,,,,,6.5,52.1
281,Malik Willis   GB,QB,4,,,,,BYE,,,,,,5.8,0.6,,,,13.2,31.5,,12.8,51.2
282,Tank Bigsby   PHI,RB,16,1.2,,0.0,0.0,0.0,0.0,1.0,10.4,BYE,0.7,3.4,0.8,0.0,0.4,5.7,9.7,0.9,16.6,3.2,50.8
283,Darnell Mooney   ATL,WR,15,,2.0,4.4,1.5,BYE,,6.8,1.1,1.5,1.7,3.4,13.4,2.5,0.6,3.5,2.4,3.5,2.0,3.4,50.3
284,Isaiah Davis   NYJ,RB,16,1.8,0.6,0.0,2.7,3.3,0.1,3.2,12.9,BYE,1.1,1.1,0.7,0.0,2.2,12.5,6.0,2.0,,3.1,50.2
285,Chris Godwin Jr.   TB,WR,9,,,,2.6,2.6,,,,BYE,,,0.9,7.8,5.5,10.0,3.0,16.8,0.8,5.6,50.0
286,Cole Kmet   CHI,TE,16,3.1,2.9,7.0,4.6,BYE,0.0,1.6,,1.0,0.5,4.5,0.3,9.6,4.2,2.8,1.4,1.6,3.6,3.0,48.7
287,Parker Romo   ATL,K,7,,18.0,0.0,10.0,BYE,6.0,4.0,5.0,5.0,,,,,,,,,,6.9,48.0
288,Jeremy McNichols   WAS,RB,17,2.5,0.0,13.8,0.3,1.8,3.5,4.5,6.8,0.0,2.9,2.9,BYE,3.0,0.2,0.2,3.2,1.0,1.1,2.8,47.7
288,Gunnar Helm   TEN,TE,16,1.6,0.9,2.7,1.2,3.4,1.5,3.6,8.3,1.5,BYE,2.9,5.1,2.3,0.8,10.9,0.9,0.1,,3.0,47.7
290,Jonnu Smith   PIT,TE,17,7.5,2.7,2.3,0.6,BYE,2.8,8.8,1.7,2.5,0.4,0.0,2.8,0.6,0.0,8.6,2.8,2.7,0.4,2.8,47.2
