RK,PLAYER,POS,GP,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,AVG,TTL
33,Chase Brown   CIN,RB,17,11.1,6.5,2.0,7.1,4.8,6.9,10.0,22.5,11.2,BYE,12.7,13.0,11.3,15.5,9.0,28.9,26.1,15.0,12.6,213.6
34,Javonte Williams   DAL,RB,16,18.4,19.0,7.2,16.0,25.9,3.4,17.8,16.9,6.3,BYE,9.3,10.1,14.0,12.7,15.1,4.3,11.4,,13.0,207.8
35,Amon-Ra St. Brown   DET,WR,17,4.5,30.2,13.7,19.0,10.0,4.7,14.6,BYE,9.7,11.8,4.2,20.9,0.0,9.2,28.4,5.4,6.8,13.9,12.2,207.0
36,Jason Myers   SEA,K,17,8.0,9.0,17.0,14.0,5.0,10.0,10.0,BYE,9.0,15.0,15.0,13.0,19.0,14.0,24.0,2.0,10.0,8.0,11.9,202.0
37,Josh Jacobs   GB,RB,15,13.0,14.4,7.4,27.7,BYE,27.0,17.8,10.5,16.0,14.7,4.0,,9.1,15.2,21.2,2.8,0.3,,13.4,201.1
38,George Pickens   DAL,WR,17,3.0,12.8,12.8,25.4,11.7,22.8,8.2,7.8,7.9,BYE,20.4,20.6,10.8,3.7,3.3,19.0,7.8,0.9,11.7,198.9
39,Saquon Barkley   PHI,RB,16,14.4,15.4,5.5,13.4,14.8,6.7,4.2,29.4,BYE,10.1,9.0,5.4,5.6,18.2,15.2,21.2,6.8,,12.2,195.3
40,D'Andre Swift   CHI,RB,16,6.5,10.9,7.8,12.0,BYE,23.5,19.8,13.1,,9.8,9.0,0.9,19.8,8.2,21.6,7.0,19.9,4.8,12.2,194.6
41,Ka'imi Fairbairn   HOU,K,15,14.0,9.0,4.0,10.0,18.0,BYE,8.0,14.0,18.0,,,12.0,9.0,8.0,18.0,16.0,10.0,26.0,12.9,194.0
42,Cam Ward   TEN,QB,17,2.5,9.8,13.0,5.5,9.0,7.9,11.2,13.8,6.4,BYE,13.1,23.9,6.3,12.1,15.0,18.0,17.0,9.2,11.4,193.7
43,Geno Smith   LV,QB,15,18.5,6.2,26.1,12.8,7.9,9.7,2.8,BYE,27.3,5.4,13.9,14.2,13.0,9.0,,15.0,9.1,,12.7,190.9
